# AMD64 board and isolated ablations, tail-call.md item 23.
# emulator workload rep seconds (each emulator's own boot baseline subtracted).
# Supersedes results-amd64-board-rvvm.txt, whose QEMU columns were not baseline-subtracted.
# --- corrected five-column board
cartesi-jit nop 1 0.905
cartesi-stock nop 1 12.736
qemu-system nop 1 0.834
qemu-icount nop 1 1.578
rvvm nop 1 0.833
cartesi-jit regs 1 4.367
cartesi-stock regs 1 28.8
qemu-system regs 1 2.787
qemu-icount regs 1 2.693
rvvm regs 1 2.48
cartesi-jit branch 1 1.795
cartesi-stock branch 1 1.601
qemu-system branch 1 5.56
qemu-icount branch 1 4.913
rvvm branch 1 2.874
cartesi-jit tree 1 4.653
cartesi-stock tree 1 5.507
qemu-system tree 1 4.671
qemu-icount tree 1 4.909
rvvm tree 1 2.904
cartesi-jit qsort 1 5.052
cartesi-stock qsort 1 6.562
qemu-system qsort 1 3.984
qemu-icount qsort 1 4.587
rvvm qsort 1 2.022
cartesi-jit memcpy 1 3.448
cartesi-stock memcpy 1 15.154
qemu-system memcpy 1 3.195
qemu-icount memcpy 1 6.593
rvvm memcpy 1 2.894
cartesi-jit zlib 1 8.456
cartesi-stock zlib 1 11.87
qemu-system zlib 1 4.211
qemu-icount zlib 1 6.975
rvvm zlib 1 3.825
cartesi-jit hash 1 4.918
cartesi-stock hash 1 9.165
qemu-system hash 1 3.162
qemu-icount hash 1 4.217
rvvm hash 1 3.529
cartesi-jit syscall 1 0.779
cartesi-stock syscall 1 1.709
qemu-system syscall 1 1.343
qemu-icount syscall 1 1.269
rvvm syscall 1 1.175
cartesi-jit double 1 3.527
cartesi-stock double 1 4.927
qemu-system double 1 2.318
qemu-icount double 1 2.119
rvvm double 1 5.208
cartesi-jit sieve 1 5.109
cartesi-stock sieve 1 19.099
qemu-system sieve 1 3.069
qemu-icount sieve 1 6.409
rvvm sieve 1 3.273
cartesi-jit int64 1 2.675
cartesi-stock int64 1 5.39
qemu-system int64 1 2.365
qemu-icount int64 1 2.091
rvvm int64 1 0.65
cartesi-jit matrixprod 1 3.695
cartesi-stock matrixprod 1 5.87
qemu-system matrixprod 1 2.619
qemu-icount matrixprod 1 3.177
rvvm matrixprod 1 3.0
cartesi-jit nop 2 0.808
cartesi-stock nop 2 12.881
qemu-system nop 2 0.717
qemu-icount nop 2 1.454
rvvm nop 2 0.789
cartesi-jit regs 2 4.287
cartesi-stock regs 2 28.444
qemu-system regs 2 2.779
qemu-icount regs 2 2.718
rvvm regs 2 2.466
cartesi-jit branch 2 1.43
cartesi-stock branch 2 1.426
qemu-system branch 2 5.223
qemu-icount branch 2 4.886
rvvm branch 2 2.667
cartesi-jit tree 2 4.374
cartesi-stock tree 2 5.208
qemu-system tree 2 4.309
qemu-icount tree 2 4.603
rvvm tree 2 2.777
cartesi-jit qsort 2 4.915
cartesi-stock qsort 2 6.519
qemu-system qsort 2 3.534
qemu-icount qsort 2 4.493
rvvm qsort 2 3.026
cartesi-jit memcpy 2 3.16
cartesi-stock memcpy 2 16.456
qemu-system memcpy 2 3.06
qemu-icount memcpy 2 6.892
rvvm memcpy 2 2.791
cartesi-jit zlib 2 8.624
cartesi-stock zlib 2 11.834
qemu-system zlib 2 4.04
qemu-icount zlib 2 7.027
rvvm zlib 2 3.887
cartesi-jit hash 2 4.988
cartesi-stock hash 2 9.042
qemu-system hash 2 3.041
qemu-icount hash 2 3.982
rvvm hash 2 3.486
cartesi-jit syscall 2 0.809
cartesi-stock syscall 2 1.9
qemu-system syscall 2 1.502
qemu-icount syscall 2 1.167
rvvm syscall 2 1.278
cartesi-jit double 2 3.476
cartesi-stock double 2 4.905
qemu-system double 2 2.351
qemu-icount double 2 2.04
rvvm double 2 5.257
cartesi-jit sieve 2 5.215
cartesi-stock sieve 2 19.538
qemu-system sieve 2 3.159
qemu-icount sieve 2 6.567
rvvm sieve 2 3.28
cartesi-jit int64 2 2.624
cartesi-stock int64 2 5.328
qemu-system int64 2 2.283
qemu-icount int64 2 1.95
rvvm int64 2 0.665
cartesi-jit matrixprod 2 3.863
cartesi-stock matrixprod 2 5.886
qemu-system matrixprod 2 2.64
qemu-icount matrixprod 2 3.095
